"","a_log","h_log","sigma","sigma2","error","a_log.est","h_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"69","-2.55555555555556","-4.11111111111111","0.2","0.2","NaN","-1.64613267448035","-4.5771556211498","0.446025635589371","0.280868307248393","0","2904.99213529781","-1439.99611716439","23"
"70","-2.33333333333333","-4.55555555555556","0.2","0.2","NaN","-1.64622943184786","-4.57741924217678","0.446058340931269","0.280902879782049","0","2904.99213972898","-1439.99611937997","14"
"71","-3","-3.66666666666667","0.2","0.2","NaN","-1.6467351191325","-4.57758255033496","0.446030387641748","0.280885788432929","0","2904.99221741082","-1439.99615822089","31"
"72","-2.55555555555556","-3.22222222222222","0.2","0.2","NaN","-1.64618940462154","-4.57649933375604","0.446034634877751","0.280871168725864","0","2904.99214853814","-1439.99612378455","43"
"73","-1.22222222222222","-4.55555555555556","0.2","0.2","NaN","-1.64633072393771","-4.57773696121064","0.446019188826083","0.280901689224386","0","2904.99213596621","-1439.99611749859","19"
"74","-1.66666666666667","-3.66666666666667","0.2","0.2","NaN","-1.64615719038426","-4.57628600318368","0.446000386611801","0.280831617395951","0","2904.99218917799","-1439.99614410447","37"
"75","-1.66666666666667","-5","0.2","0.2","NaN","-1.64608228835067","-4.57647674734984","0.44603670886944","0.280876106920073","0","2904.99215845378","-1439.99612874237","7"
"76","-1.22222222222222","-2.33333333333333","0.2","0.2","NaN","-1.64639442711771","-4.57754772496935","0.446033072862556","0.280900387678746","0","2904.99213285565","-1439.9961159433","69"
"77","-1.88888888888889","-2.33333333333333","0.2","0.2","NaN","-1.6466368413718","-4.57891741578313","0.44603565663125","0.280868698398692","0","2904.99219894402","-1439.99614898749","66"
"78","-1.44444444444444","-1.44444444444444","0.2","0.2","NaN","-1.64610681957953","-4.57664835812268","0.446047046691502","0.280921684681381","0","2904.99218382949","-1439.99614143023","88"
"79","-1","-2.77777777777778","0.2","0.2","NaN","-1.64656403726446","-4.57796610101304","0.445966695980965","0.280852565821403","0","2904.9921742679","-1439.99613664943","60"
"80","-1.22222222222222","-1","0.2","0.2","NaN","-1.64662825726587","-4.57933303515978","0.44599630801669","0.280863176811827","0","2904.99224673986","-1439.99617288541","99"
"81","-2.77777777777778","-5","0.2","0.2","NaN","-1.64938159897808","-4.57362435869145","0.446534660404756","0.280390948302144","0","2905.00450218817","-1440.00230060957","2"
"82","-2.11111111111111","-3.22222222222222","0.2","0.2","NaN","-1.64635447300706","-4.57819987996285","0.446065740075357","0.280867838975886","0","2904.99214329477","-1439.99612116286","45"
"83","-2.55555555555556","-1","0.2","0.2","NaN","-1.64636486967817","-4.57728433327233","0.446032198371934","0.280835030760483","0","2904.9921369148","-1439.99611797288","93"
"84","-2.55555555555556","-3.66666666666667","0.2","0.2","NaN","-1.64625715404936","-4.57749916613472","0.44601660393767","0.280874830015821","0","2904.99212327049","-1439.99611115073","33"
"85","-1.88888888888889","-3.22222222222222","0.2","0.2","NaN","-1.64632827308075","-4.57805085948539","0.446038008333511","0.280869416840858","0","2904.9921326054","-1439.99611581818","46"
"86","-2.77777777777778","-1.88888888888889","0.2","0.2","NaN","-1.6463458420235","-4.5767359026121","0.446041973642155","0.280915277337469","0","2904.99217116247","-1439.99613509672","72"
"87","-1.66666666666667","-4.55555555555556","0.2","0.2","NaN","-1.64676790966771","-4.57794473146247","0.446094728664842","0.280871724320539","0","2904.99223260704","-1439.996165819","17"
"88","-1.44444444444444","-2.33333333333333","0.2","0.2","NaN","-1.64408200524162","-4.56865410542024","0.446259814853356","0.281077309681954","0","2904.996293166","-1439.99819609848","68"
"89","-1.22222222222222","-3.66666666666667","0.2","0.2","NaN","-1.64640827139363","-4.57631091619824","0.446072942616357","0.280880106015781","0","2904.9922028763","-1439.99615095363","39"
"90","-3","-4.11111111111111","0.2","0.2","NaN","-1.64592936419039","-4.57651561488908","0.4459660767451","0.2809354889441","0","2904.99227597368","-1439.99618750232","21"
"91","-1.44444444444444","-4.11111111111111","0.2","0.2","NaN","-1.64626941287025","-4.57754183036673","0.446022498915185","0.28086204865457","0","2904.99212221521","-1439.99611062309","28"
"92","-1","-4.11111111111111","0.2","0.2","NaN","-1.64647109654597","-4.57814261141726","0.44600925015272","0.280888716825495","0","2904.99214430531","-1439.99612166814","30"
"93","-1.22222222222222","-4.11111111111111","0.2","0.2","NaN","-1.64629224850209","-4.57722930123996","0.445953133843082","0.28083507488367","0","2904.99217110878","-1439.99613506987","29"
"94","-1","-3.22222222222222","0.2","0.2","NaN","-1.64687581670148","-4.57760193194841","0.44609061905541","0.280953041133582","0","2904.99239897749","-1439.99624900422","50"
"95","-2.55555555555556","-1.44444444444444","0.2","0.2","NaN","-1.64646852398012","-4.578201242309","0.446063900177754","0.28084311103366","0","2904.99215112754","-1439.99612507925","83"
"96","-1.66666666666667","-2.33333333333333","0.2","0.2","NaN","-1.64648757747764","-4.57763773951928","0.446076582779711","0.280782241607768","0","2904.99223958476","-1439.99616930786","67"
"97","-1.88888888888889","-1","0.2","0.2","NaN","-1.64634497511379","-4.57754259705934","0.446155953588324","0.280887362633928","0","2904.9921968121","-1439.99614792153","96"
"98","-1.22222222222222","-1.44444444444444","0.2","0.2","NaN","-1.64654033291685","-4.57748614719055","0.446043066399028","0.280818595685117","0","2904.99217984825","-1439.9961394396","89"
