"","a_log","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"67","-3","-1.88888888888889","-0.5","0.2","0.2","NaN","-1.38917570212947","-4.15407182167669","0.553690584902648","0.42522876606794","0.280858622081501","0","2861.31442723919","-1415.03227551394","471"
"68","-1.22222222222222","-1.88888888888889","-0.5","0.2","0.2","NaN","-1.38868184090264","-4.15459653530663","0.552786005840897","0.425240008483865","0.280772537057676","0","2861.31438232019","-1415.03225305445","479"
"69","-1.88888888888889","-3.22222222222222","-3","0.2","0.2","NaN","-1.38960334450066","-4.15673814225814","0.549410782665854","0.425148538950678","0.280847805754849","0","2861.31445424281","-1415.03228901576","46"
"70","-1","-1.88888888888889","-2.375","0.2","0.2","NaN","-1.38966779875191","-4.15539095753089","0.55208418955841","0.425079508758062","0.280766642530068","0","2861.31440960134","-1415.03226669502","180"
"71","-1.44444444444444","-2.77777777777778","-0.5","0.2","0.2","NaN","-1.38956009244651","-4.15484958611127","0.547388067581356","0.425172636106248","0.280793360121768","0","2861.31437788188","-1415.03225083529","458"
"72","-2.77777777777778","-4.55555555555556","-3","0.2","0.2","NaN","-1.38409006786636","-4.14380038075457","0.553657258953232","0.423820085519437","0.282431943216252","0","2861.36885871694","-1415.05949125282","12"
"73","-2.77777777777778","-4.11111111111111","-1.125","0.2","0.2","NaN","-1.3894068417514","-4.15554287694393","0.550402146328886","0.425166057194354","0.280715705557941","0","2861.31434290969","-1415.0322333492","322"
"74","-1","-2.77777777777778","-1.75","0.2","0.2","NaN","-1.38912317770806","-4.15425601363895","0.552764682276222","0.425172610654895","0.28083292591964","0","2861.31430071977","-1415.03221225424","260"
"75","-1","-2.33333333333333","-1.125","0.2","0.2","NaN","-1.4200314418153","-4.21671958532782","0.31987598243667","0.425350985943483","0.280679874766475","0","2861.76371673567","-1415.25692026218","370"
"76","-1.44444444444444","-4.11111111111111","-0.5","0.2","0.2","NaN","-1.38894365966952","-4.15426395660077","0.552393610986013","0.425202222632754","0.280776321695784","0","2861.31427358162","-1415.03219868516","428"
"77","-3","-1.44444444444444","-2.375","0.2","0.2","NaN","-1.38931800040135","-4.15420160747452","0.549654610018743","0.425192579872747","0.280787283056624","0","2861.31431203274","-1415.03221791072","181"
"78","-1.44444444444444","-3.66666666666667","-1.125","0.2","0.2","NaN","-1.38890001459078","-4.15444193917694","0.553408344258897","0.42508698307446","0.28077665897494","0","2861.314322428","-1415.03222310835","338"
"79","-1.66666666666667","-1.44444444444444","-1.125","0.2","0.2","NaN","-1.38875670503072","-4.15418079417809","0.551706624597028","0.425212596231792","0.280772405003907","0","2861.31432898435","-1415.03222638653","387"
"80","-1.44444444444444","-4.55555555555556","-3","0.2","0.2","NaN","-1.38900154241601","-4.15443739181438","0.553076762053414","0.425134061484785","0.280775483586232","0","2861.31427832754","-1415.03220105812","18"
"81","-2.33333333333333","-1","-2.375","0.2","0.2","NaN","-1.38890757110726","-4.15405537605079","0.55724976325542","0.425217826453425","0.280775852374094","0","2861.31456581769","-1415.03234480319","194"
"82","-1.44444444444444","-1.44444444444444","-1.125","0.2","0.2","NaN","-1.38921626518005","-4.15560528942516","0.551091641801721","0.425192940753674","0.280797821480207","0","2861.31429543224","-1415.03220961047","388"
"83","-1.44444444444444","-2.77777777777778","-3","0.2","0.2","NaN","-1.38918889574641","-4.15434017861764","0.556767670275477","0.425418740759037","0.280869106649965","0","2861.31503136315","-1415.03257757592","58"
"84","-1.44444444444444","-5","-0.5","0.2","0.2","NaN","-1.3888952266224","-4.15706192357633","0.556017168956414","0.424891805027229","0.280856454102678","0","2861.31539569094","-1415.03275973982","408"
"85","-1.44444444444444","-3.22222222222222","-2.375","0.2","0.2","NaN","-1.38763073576948","-4.15718928173288","0.565165933053308","0.42492021205201","0.280683083177904","0","2861.31771178468","-1415.03391778669","148"
