"","r2_log","alpha11","alpha22","alpha12","alpha21","sigma","sigma2","error","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"68","-5","0.001","0.001","0.001","0.005","0.2","0.2","NaN","-1.80341039266982","0.0016888393005762","0.00202335730577629","0.00200237087794325","0.000966208441714336","0.268793502039371","0.229414316078969","0","59.1864995954552","-10.8783734402164","725"
"69","-0.5","5e-04","0.001","5e-04","5e-04","0.2","0.2","NaN","-2.30625057494092","0.00167571078613932","0.00198146196651495","0.00136388623623169","0.000515962612511145","0.274018022927337","0.238069664754413","0","65.5852348287141","-14.0777410568459","52"
"70","-3","0.001","0.001","0.001","5e-04","0.2","0.2","NaN","-1.81228289660322","0.00168645710029815","0.00200682078775537","0.00200474739767525","0.000977575154161008","0.268302818532336","0.228564898584965","0","59.1801871119671","-10.8752171984724","118"
"71","-0.5","0.005","5e-04","0.005","0.001","0.2","0.2","NaN","-1.79617786697089","0.00161776683227601","0.00199259304152605","0.00193133810247512","0.000962187597767565","0.269557883275287","0.230163353537365","0","58.549097333626","-10.5596723093019","908"
"72","-5","5e-04","0.001","5e-04","0.001","0.2","0.2","NaN","-2.70624304294335","0.00165843199863886","0.00204343559343655","0.00124809581580661","-1.78080302540381e-06","0.274391726879458","0.243081120933689","0","73.081428004724","-17.8258376448508","817"
"73","-1","0.005","0.001","0.001","0.005","0.2","0.2","NaN","-1.80749611554789","0.00155337195946392","0.00207521523433209","0.00200253720658394","0.000939941427178966","0.270078313648062","0.229228458441511","0","58.172652660298","-10.3714499726378","635"
"74","-0.5","5e-04","0.005","0.005","5e-04","0.2","0.2","NaN","-1.81782431602817","0.00156631470632597","0.00204513558761813","0.00201494823487595","0.000994589617965519","0.271541448531143","0.229263288921519","0","58.320267365445","-10.4452573252113","164"
"75","-1","0.001","5e-04","5e-04","0.001","0.2","0.2","NaN","-1.81096005210974","0.00166956809895218","0.00197056050178484","0.00196948534383158","0.000951784157114804","0.269505615233243","0.229754719962306","0","59.0606912637763","-10.815469274377","271"
"76","-1","0.001","0.005","0.005","0.001","0.2","0.2","NaN","-1.80449270103323","0.00168568040654758","0.00202355074647581","0.00201451745801248","0.000982035545344323","0.270335728785285","0.229256717561633","0","59.1615479443457","-10.8658976146617","423"
"77","-0.5","0.001","0.001","0.001","0.005","0.2","0.2","NaN","-1.7850869578533","0.00167062571434233","0.00202651817566849","0.0019803197695466","0.0010133875107737","0.265394827588401","0.227922256559862","0","59.0372509133768","-10.8037490991773","600"
"78","-0.5","0.005","5e-04","5e-04","0.001","0.2","0.2","NaN","-1.80840187833065","0.00165332316778059","0.00206077423830694","0.00224535804320215","0.000904479931910159","0.271192337702782","0.22966513432","0","59.0343411145524","-10.8022941997651","780"
"79","-5","0.005","0.001","0.005","0.001","0.2","0.2","NaN","-3.61271227107795","0.00164661004611578","0.00198436780366788","-0.00311439065780819","-0.00135178578497845","0.277051322386528","0.244320760522022","0","86.9084786877613","-24.7393629863695","953"
"80","-0.5","0.001","5e-04","0.001","5e-04","0.2","0.2","NaN","-1.91242831981117","0.00165448210278277","0.00202350147553224","0.00188228198914752","0.000893304432749357","0.27044141642374","0.231071514284492","0","59.1809660376293","-10.8756066613035","208"
"81","-3","5e-04","0.005","0.005","0.001","0.2","0.2","NaN","-1.80564402824209","0.00159888220051026","0.002060949126724","0.00200661084842119","0.000939647219144426","0.268789957047898","0.229444090229066","0","58.2844427485763","-10.427345016777","930"
"82","-5","0.001","5e-04","0.001","0.001","0.2","0.2","NaN","-3.1692215472173","0.00162741241189335","0.00202849023348417","0.00042885068783552","-0.00117183002503858","0.268567660940823","0.235553994771446","0","79.937084223704","-21.2536657543409","837"
"83","-1","0.001","5e-04","0.005","5e-04","0.2","0.2","NaN","-3.48963221299845","0.00170117243229588","0.0017981767802963","-0.00600421512503069","-0.000918695515779266","0.271171479943374","0.247210100097449","0","90.7526045339997","-26.6614259094887","143"
"84","-0.5","0.005","0.005","0.001","0.001","0.2","0.2","NaN","-2.53993495839278","0.0016603364127857","0.00200724286657894","0.00211429325410366","0.000679823764849305","0.276275481520207","0.243492900195802","0","71.6204402748872","-17.0953437799324","1004"
"85","-5","0.001","0.001","5e-04","0.001","0.2","0.2","NaN","-4.2579416389394","0.0016991287459912","0.00195053388160005","-0.0010429943596898","-0.00649703547057921","0.273919000030222","0.247850392134964","0","91.0048372276187","-26.7875422562982","829"
"86","-3","0.001","0.005","0.001","0.005","0.2","0.2","NaN","-1.81739142450889","0.00168636870898354","0.00202413674879821","0.00201658837912419","0.000954159802169923","0.269357227420187","0.230251902712007","0","59.1697973641344","-10.8700223245561","622"
"87","-0.5","0.001","0.001","5e-04","0.001","0.2","0.2","NaN","-1.80471164396313","0.00168897033556855","0.00202342055939455","0.00200394089266534","0.000969002725086773","0.268812481922242","0.22940570264252","0","59.1884811011712","-10.8793641930745","312"
"88","-1","0.001","0.001","0.001","0.001","0.2","0.2","NaN","-1.8100125880548","0.00168840478652984","0.00202214578013183","0.00203378791770122","0.000971357355141769","0.269105452397653","0.229685519104268","0","59.1972941178639","-10.8837707014208","863"
