"","a_log","h12","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"17","-3","-2e-04","-1","-3","0.2","0.2","NaN","-2.29253198270901","-4.15352731136786","0.000816580111801318","-0.212922202427504","0.208497338349124","0.247844467918491","0","1799.94783477794","-881.13272987209","111"
"18","-2.5","-5e-04","-3","-3","0.2","0.2","NaN","-2.49652634442891","-4.74891318756984","0.000665777268750254","-3.01622978237952","0.220728017764229","0.242967974247907","0","1809.33696129477","-885.827293130505","52"
"19","-1","-2e-04","-5","-3","0.2","0.2","NaN","-2.3825947428448","-5.32260199489085","0.000828552649612602","-0.468196220763236","0.218892975435155","0.242610680186984","0","1800.21647673394","-881.267050850088","15"
"20","-1","-0.00035","-3","-0.5","0.2","0.2","NaN","-2.09688264103376","-3.74112942393504","0.000938056831951473","1.03267821198823","0.219295385319353","0.246604632230476","0","1803.20215364944","-882.759889307841","560"
"21","-1","1e-04","-3","-3","0.2","0.2","NaN","-2.31833844411865","-4.42138378251718","0.000822028483622482","-0.273859010099714","0.218275763417083","0.242549825336306","0","1797.50185731811","-879.909741142173","75"
"22","-3","-5e-04","-1","-0.5","0.2","0.2","NaN","-2.26679420024922","-4.09024926877976","0.00083108834729032","-0.0112423587872629","0.218311233311927","0.242616855299031","0","1797.05997590532","-879.688800435779","601"
"23","-3","-0.00035","-5","-1.125","0.2","0.2","NaN","-2.46299363356525","-4.74560312857661","0.000697256656691877","-1.71324283534862","0.219395304564096","0.243231962086533","0","1804.56863943576","-883.443132200999","381"
"24","-2","-5e-05","-4","-1.125","0.2","0.2","NaN","-2.27230810118014","-4.32867757073262","0.000862995796941778","0.0164408766228387","0.218326207555708","0.243916392929533","0","1797.36814824171","-879.842886603976","418"
"25","-2","-5e-04","-2","-2.375","0.2","0.2","NaN","-2.17139417413571","-3.63367194817394","0.000859989791371614","0.385586419869588","0.218545337126316","0.242786360465233","0","1798.93859116042","-880.628108063327","203"
"26","-3","-5e-05","-3","-1.125","0.2","0.2","NaN","-2.27871514162941","-4.13491855230907","0.000827009978654224","-0.0668700509448263","0.21833764360481","0.242638478725152","0","1797.05111761164","-879.684371288941","441"
"27","-2.5","-2e-04","-1","-0.5","0.2","0.2","NaN","-2.35633250753875","-4.19528476817765","0.000770428247007858","-1.40626585963374","0.220518422193401","0.243024835414217","0","1803.53821804722","-882.927921506731","612"
"28","-1.5","-5e-05","-2","-1.75","0.2","0.2","NaN","-2.03065812334934","-3.10089842837785","0.000859511674517373","1.06288960808347","0.220780077613272","0.242992377753217","0","1808.04268158257","-885.180153274406","344"
"29","-1.5","1e-04","-5","-2.375","0.2","0.2","NaN","-2.45040083409467","-4.24100197152464","0.000660216113410121","-2.11026776776738","0.220424202912309","0.24281684056837","0","1806.82871831365","-884.573171639943","149"
"30","-2","-0.00035","-1","-2.375","0.2","0.2","NaN","-2.51185009748564","-4.71316968646553","0.000646016519576352","-4.32870864479547","0.221090349369804","0.242505794882596","0","1811.11830788622","-886.717966426228","233"
"31","-3","1e-04","-3","-2.375","0.2","0.2","NaN","-2.31504117002997","-4.3731835291863","0.000815980861615183","-0.207860090103323","0.218494622741874","0.242671373968865","0","1797.35447774859","-879.836051357414","196"
"32","-1","-5e-04","-5","-1.125","0.2","0.2","NaN","-2.30044240177792","-4.42913434966325","0.00083974689815338","-0.0429493392355672","0.218329225162881","0.242990244895166","0","1797.46100522782","-879.889315097028","380"
"33","-2","1e-04","-4","-2.375","0.2","0.2","NaN","-2.39353867229725","-8.05097074540801","0.000878622459076068","-0.34288751519439","0.219489022655478","0.242977524905485","0","1803.97995737518","-883.14879117071","173"
"34","-2.5","-5e-04","-2","-1.125","0.2","0.2","NaN","-3.20284223464704","-1.32678757572553","-0.265337156020803","-0.672367192087967","0.289676731897117","0.242951317004341","0","2100.89222802816","-1031.6049264972","452"
"35","-1.5","-5e-04","-1","-0.5","0.2","0.2","NaN","-2.00668351450637","-3.43653204905161","0.000919147481817606","1.54800947330576","0.220505567715283","0.242788372290819","0","1808.56754076887","-885.442582867554","604"
"36","-3","-5e-04","-3","-1.125","0.2","0.2","NaN","-2.42779117799105","-5.57806651243445","0.000786792050016844","-0.613895974708717","0.21934758222995","0.243548096755967","0","1801.33969041661","-881.828657691426","426"
"37","-2","-2e-04","-2","-2.375","0.2","0.2","NaN","-1.96443131839773","-3.45581150767501","0.0011163854103537","0.69353788954426","0.22035741072748","0.241143053488769","0","1805.58943344322","-883.953529204727","213"
"38","-2","-2e-04","-5","-3","0.2","0.2","NaN","-2.47996082770103","-4.42578971507208","0.000650115644762149","-2.64639275125433","0.220626755684171","0.242556081205365","0","1808.55126684126","-885.434445903751","13"
"39","-1","-5e-04","-3","-1.75","0.2","0.2","NaN","-2.33295935043749","-3.98707454244714","0.000748424869697271","-0.638926783816212","0.217456354894098","0.243503461843712","0","1798.94354149022","-880.630583228227","305"
"40","-1","-2e-04","-1","-1.75","0.2","0.2","NaN","-2.32204237358585","-6.68346169940361","0.000945860069534427","0.302300518599029","0.220465602589931","0.24383992655647","0","1805.61860661479","-883.968115790515","365"
"41","-2","-2e-04","-5","-1.75","0.2","0.2","NaN","-2.41967623803792","-4.62797135805375","0.000733278051466012","-1.24673118326855","0.219193800594557","0.243255499976278","0","1801.88437925373","-882.101002109985","263"
"42","-2.5","-0.00035","-2","-1.125","0.2","0.2","NaN","-2.12192986325247","-3.51396832370153","0.000889067171465317","0.553583411865917","0.219441280177729","0.243284330678116","0","1800.47751491677","-881.397569941505","457"
