"","a_log","h_log","log_w","kr_log","sigma","sigma2","error","a_log.est","h_log.est","log_w.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"17","-1.5","-4","-8.75","-2.375","0.2","0.2","NaN","-2.09719904693842","-3.27538408978373","-4.89385104395758","-4.9035129911236","0.214910742350674","0.242664402005075","0","1780.66953875715","-871.493581861695","159"
"18","-3","-3","-5","-0.5","0.2","0.2","NaN","-2.02692280519482","-3.15835615619868","-1.19390938402691","-4.90225131827631","0.214505464876524","0.242661938324437","0","1778.20369022214","-870.260657594189","611"
"19","-3","-1","-10","-1.125","0.2","0.2","NaN","-2.03862033665096","-3.17624142781038","-1.34809715405793","-4.90870418246656","0.214560447673831","0.242642858119802","0","1778.24284432877","-870.280234647505","396"
"20","-3","-2","-7.5","-1.75","0.2","0.2","NaN","-2.02574937705443","-3.15708753227953","-1.18493212630534","-4.9017799794055","0.214389388134666","0.242671068242584","0","1778.20354872678","-870.260586846509","316"
"21","-2.5","-5","-5","-1.75","0.2","0.2","NaN","-2.08652784795818","-3.25635276100567","-3.04728166484184","-4.90936994315954","0.214843551304743","0.242682508824298","0","1779.9216917609","-871.119658363568","352"
"22","-3","-3","-6.25","-0.5","0.2","0.2","NaN","-2.02692280519482","-3.15835615619868","-1.19390938402691","-4.90225131827631","0.214505464876524","0.242661938324437","0","1778.20369022214","-870.260657594189","586"
"23","-3","-3","-8.75","-1.125","0.2","0.2","NaN","-2.0264872434812","-3.15940718228505","-1.1896682393247","-4.90225860328273","0.214378875267753","0.242697420805548","0","1778.20359691584","-870.260610941039","411"
"24","-1","-1","-8.75","-1.75","0.2","0.2","NaN","-2.10120455592736","-3.2784381830748","-4.22609424656566","-4.91913297982325","0.214975992469898","0.242718897535545","0","1780.53009805771","-871.423861511973","300"
"25","-3","-3","-10","-1.125","0.2","0.2","NaN","-2.0264872434812","-3.15940718228505","-1.1896682393247","-4.90225860328273","0.214378875267753","0.242697420805548","0","1778.20359691584","-870.260610941039","386"
"26","-2","-5","-7.5","-0.5","0.2","0.2","NaN","-2.0942726291671","-3.27038954153325","-3.54045983087266","-4.91253598094359","0.214792060640824","0.242454294989896","0","1780.24792630428","-871.28277563526","553"
"27","-3","-1","-7.5","-0.5","0.2","0.2","NaN","-2.09794798258834","-3.27621955107626","-6.89028071266409","-4.90155788879194","0.214924867552006","0.242612343649587","0","1780.80906102917","-871.563342997705","571"
"28","-1","-5","-6.25","-2.375","0.2","0.2","NaN","-2.01596287265554","-3.12871625182107","-0.813219833809127","-4.92647591538848","0.214651919096442","0.24254208369975","0","1778.48907233717","-870.403348651702","205"
"29","-1","-2","-8.75","-0.5","0.2","0.2","NaN","-2.02636845321991","-3.15706054520906","-1.18396720045093","-4.90217650327289","0.214414926677507","0.242655642887074","0","1778.2034985642","-870.26056176522","545"
"30","-2.5","-5","-10","-1.75","0.2","0.2","NaN","-2.07996920140149","-3.23960069721987","-2.78958888411227","-4.90901808792846","0.21496035596191","0.242337464855684","0","1779.7056604048","-871.011642685521","252"
"31","-1","-3","-10","-1.125","0.2","0.2","NaN","-2.02649936864373","-3.15602603970532","-1.18707473798501","-4.90352541014352","0.214387508566328","0.242681371742035","0","1778.20360182757","-870.260613396904","390"
"32","-2","-2","-7.5","-1.125","0.2","0.2","NaN","-2.02660500845589","-3.15773709949776","-1.1866723831789","-4.90268205259854","0.214415358997566","0.242672697653759","0","1778.20345048712","-870.260537726677","443"
"33","-1.5","-2","-6.25","-3","0.2","0.2","NaN","-1.9808057088371","-3.12492081722236","-1.14864922606542","-4.8158031969079","0.214520783345723","0.242948254929977","0","1778.39570123574","-870.356663100991","94"
"34","-2.5","-1","-8.75","-2.375","0.2","0.2","NaN","-2.03107654245637","-3.16681371308406","-1.21887400965487","-4.90770163721107","0.214422159173282","0.242630610018242","0","1778.20621027397","-870.261917620106","172"
