"","r2_log","alpha11","alpha22","alpha12","alpha21","sigma","sigma2","error","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"58","-0.5","0.001","0.001","0.005","0.005","-1.6094379124341","-1.6094379124341","NaN","-1.3812318680121","0.000478696986673662","0.00176372458076082","0.00518127179189938","0.000167940165765785","0.000167940165765785","-1.16721383905964","0","223.378698399272","-93.0588142726516","664"
"59","-1","5e-04","0.005","0.005","5e-04","-1.6094379124341","-1.6094379124341","NaN","-3.58094313266652","0.000504724611130126","0.00163812564058338","0.0203606396743527","-0.000606852517314685","-0.000606852517314685","-1.17643931659257","0","139.257613564058","-50.9982718550447","163"
"60","-3","0.005","5e-04","0.001","5e-04","-1.6094379124341","-1.6094379124341","NaN","-3.7527019969985","0.000471562591441837","0.00176409698332324","0.0217869689590535","-0.00265827075317898","-0.00265827075317898","-1.17536129039246","0","130.496056921046","-46.6174935335383","74"
"61","-5","0.001","0.005","0.001","5e-04","-1.6094379124341","-1.6094379124341","NaN","-6.04346783131172","0.000484331534893309","0.00173976310222514","0.187311223488593","-0.0309907305281821","-0.0309907305281821","-1.18276366351282","0","128.903981645707","-45.8214558958693","109"
"62","-0.5","0.001","5e-04","0.001","0.001","-1.6094379124341","-1.6094379124341","NaN","-1.28283528345372","0.00047357137422512","0.000229479908171459","0.00550874098988979","0.000122212512637437","0.000122212512637437","-1.06800584172467","0","240.918114042233","-101.828522094132","328"
"63","-5","0.001","0.001","5e-04","0.005","-1.6094379124341","-1.6094379124341","NaN","-6.04670613628772","0.000480156068671076","0.00172220380439895","0.185850943447017","-0.0312766858992142","-0.0312766858992142","-1.18444558995625","0","128.90401558139","-45.8214728637107","533"
"64","-5","0.001","5e-04","0.001","5e-04","-1.6094379124341","-1.6094379124341","NaN","-5.7848471539689","0.000479141190094787","0.00173607727014502","0.144056322673777","-0.0239259293705297","-0.0239259293705297","-1.18385557060096","0","128.932716552462","-45.8358233492467","197"
"65","-0.5","0.001","0.005","0.001","5e-04","-1.6094379124341","-1.6094379124341","NaN","-4.47938540091035","0.00050717373954749","0.00157961920804937","0.0415785606491847","-0.00587537527343797","-0.00587537527343797","-1.17160658174321","0","129.915874327894","-46.3274022369625","112"
"66","-3","0.001","0.001","0.005","0.001","-1.6094379124341","-1.6094379124341","NaN","-3.70890624387442","0.000508282753966167","0.00161126789835021","0.0182040396949798","-0.00292102131784639","-0.00292102131784639","-1.1750528151596","0","131.609337430691","-47.174133788361","446"
"67","-1","0.001","0.005","0.005","0.001","-1.6094379124341","-1.6094379124341","replacement has 67 rows, data has 98","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","NA","431"
"68","-5","0.001","0.001","0.001","0.005","-1.6094379124341","-1.6094379124341","NaN","-5.74984571581386","0.0004804743937153","0.00174747637722745","0.13869784505514","-0.0231307349504602","-0.0231307349504602","-1.18219591195196","0","128.940770239378","-45.8398501927044","725"
"69","-0.5","5e-04","0.001","5e-04","5e-04","-1.6094379124341","-1.6094379124341","NaN","-12.473128638501","0.000476221497043968","0.00175017398501657","107.319614851415","-3.05938427615126","-3.05938427615126","-1.18236355339865","0","143.24317745234","-52.9910537991856","52"
"70","-3","0.001","0.001","0.001","5e-04","-1.6094379124341","-1.6094379124341","NaN","-5.92532120004774","0.000481986067020733","0.00172706352792392","0.164793928893791","-0.0280432429286094","-0.0280432429286094","-1.18131743505273","0","128.921213991909","-45.83007206897","118"
"71","-0.5","0.005","5e-04","0.005","0.001","-1.6094379124341","-1.6094379124341","replacement has 71 rows, data has 98","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","NA","908"
