"","a_log","h_log","h12","log_w","sigma","sigma2","error","a_log.est","h_log.est","h12.est","log_w.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"11","-1","-4","1e-04","-7.5","0.2","0.2","NaN","-1.73689670756475","-2.80121585807712","-0.000115070500540276","-10.1117009163474","0.447515266682283","0.286132277703037","0","2919.28090854489","-1440.89052854567","360"
"12","-2","-4","-5e-04","-6.25","0.2","0.2","NaN","-4.20328539985821","-1.90332213962026","-1.48706662110694","-9.19460761427411","0.591185648363993","0.280765823316352","0","3210.5852289205","-1586.54268873347","383"
"13","-3","-2","-2e-04","-5","0.2","0.2","NaN","-4.72832992912965","-6.14744148072883","-4.53997552934144","-5.77837187122459","0.596550213434919","0.279204618791852","0","3210.84203702259","-1586.67109278452","566"
"14","-1.5","-4","-5e-05","-7.5","0.2","0.2","NaN","-1.92809983920164","-4.2394373850047","-2.34343833704356e-05","-8.85201288579253","0.430088270789006","0.280361294930662","0","2876.69056853702","-1419.59535854173","334"
"15","-3","-4","-0.00035","-10","0.2","0.2","NaN","-4.68439661386581","-5.37130364652464","-1.82964422422402","-8.28452963698932","0.594322061153988","0.280273051443551","0","3211.77108592365","-1587.13561723504","31"
"16","-1.5","-1","-5e-05","-5","0.2","0.2","NaN","-2.17262276659693","-0.574509135041863","-0.486903225561458","-9.56561523559497","0.603211038733214","0.285600348024307","0","3212.41078057094","-1587.45546455869","599"
"17","-2","-4","-5e-05","-8.75","0.2","0.2","NaN","-1.91718131627548","-4.25441890748775","-2.37280856765853e-05","-8.39067936790068","0.428892287543163","0.280133973086218","0","2876.06554989967","-1419.28284922306","208"
"18","-2.5","-5","-5e-04","-5","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","502"
"19","-2.5","-1","-0.00035","-5","0.2","0.2","NaN","-2.19926645934978","0.0816877684657985","-1.17286124010846","-9.19759307371489","0.595737979269473","0.286797185036641","0","3205.16074410482","-1583.83044632563","547"
"20","-2","-1","-5e-05","-8.75","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","223"
"21","-1.5","-1","-5e-05","-6.25","0.2","0.2","NaN","-2.17262276659693","-0.574509135041863","-0.486903225561458","-9.56561523559497","0.603211038733214","0.285600348024307","0","3212.41078057094","-1587.45546455869","474"
"22","-1","-1","1e-04","-6.25","0.2","0.2","NaN","-1.71492319989526","-2.88307783788348","-0.000116455959423138","-7.11741344430947","0.405660875521122","0.253088572171158","0","2921.63787220631","-1442.06901037638","500"
"23","-2.5","-3","1e-04","-8.75","0.2","0.2","NaN","701.69622111152","1.22477694037141","-124.222308447248","-5088.74233866056","0.596016034833505","0.280151776169826","0","3214.83930788785","-1588.66972821714","237"
"24","-3","-3","-2e-04","-10","0.2","0.2","NaN","-4.18070569467547","-0.866562849818367","-3.06986584521461","-4.35941152396312","0.595349148702528","0.280899521140378","0","3212.01989526778","-1587.26002190711","61"
"25","-1.5","-1","-5e-04","-7.5","0.2","0.2","NaN","-2.17108077451081","-0.584699386736921","-0.486645788279788","-9.4822491271925","0.590547711408771","0.280971730690283","0","3211.44102217402","-1586.97058536023","274"
"26","-2.5","-5","-0.00035","-10","0.2","0.2","NaN","-3.15707165817429","-4.40351818077591","-8.02500529661207e-05","-9.90417271527629","0.539286221868529","0.266950909357572","0","3052.44709489196","-1507.4736217192","27"
"27","-3","-1","1e-04","-10","0.2","0.2","NaN","-3.33599244391155","-0.441577746091972","-0.924035491149606","-8.52062211079658","0.584308124323534","0.281091463528446","0","3205.89905425199","-1584.19960139921","121"
"28","-2","-3","-2e-04","-5","0.2","0.2","NaN","-1.75712538460538","-3.3692900033232","-5.93979976183156e-05","-10.0195166658276","0.442982299148843","0.278812935740941","0","2893.33733355099","-1427.91874104872","563"
"29","-3","-5","-5e-04","-8.75","0.2","0.2","NaN","-3.39653374084737","-5.03999935208391","-8.51122184413291e-05","-9.62124431795389","0.495484091422841","0.265873774759152","0","3080.73277924695","-1521.6164638967","126"
"30","-1","-3","-0.00035","-8.75","0.2","0.2","NaN","-1.72978681900148","-3.83998888754664","-4.65410355334876e-05","-6.75170028636953","0.421326292246129","0.285976614007462","0","2873.72169322468","-1418.11092088556","165"
"31","-2","-3","-2e-04","-6.25","0.2","0.2","NaN","-1.75712538460538","-3.3692900033232","-5.93979976183156e-05","-10.0195166658276","0.442982299148843","0.278812935740941","0","2893.33733355099","-1427.91874104872","438"
"32","-2.5","-1","-5e-05","-6.25","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","472"
"33","-1","-5","1e-04","-7.5","0.2","0.2","NaN","-2.03774561697941","-3.60796758297881","-5.61342596565949e-05","-10.2449337170374","0.561788273077184","0.308777527346268","0","2956.43088953051","-1459.46551903848","355"
"34","-3","-3","-0.00035","-10","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","36"
"35","-1.5","-3","-0.00035","-6.25","0.2","0.2","NaN","-1.8413815032037","-2.08932866908322","-0.000252123332166742","-10.0763058768612","0.490560034392016","0.267513280322921","0","2973.82959655396","-1468.1648725502","414"
"36","-2","-5","-5e-04","-7.5","0.2","0.2","NaN","-1.93064242360613","-4.10177766940063","-2.65356818144184e-05","-11.3087182819733","0.43065515025966","0.28027075676746","0","2878.01301229347","-1420.25658041995","253"
"37","-1","-3","1e-04","-10","0.2","0.2","NaN","-1.77482722804153","-2.48266325688227","-0.000164821829606335","-10.6460653287282","0.468896525122458","0.27860187863695","0","2939.80548961912","-1451.15281908278","115"
"38","-2","-3","-5e-05","-5","0.2","0.2","NaN","-0.0939709391555897","-4.38743108628494","-9.26849337050055","2.16104861841439","0.594579764485636","0.280011516150854","0","3212.05115056334","-1587.27564955489","588"
