"","a_log","h12","h_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"45","-1","-5e-04","-3","0.2","0.2","NaN","-1.93354244190058","-3.17406861401805","-8.27719737775324e-05","0.459103292702117","0.286528961705254","0","2895.66046565532","-1432.20529472201","55"
"46","-2.5","-2e-04","-2","0.2","0.2","NaN","-1.93826316561024","-4.16479365343346","-2.40032293460535e-05","0.430189320042806","0.280120934992371","0","2871.85623401947","-1420.30317890408","87"
"47","-1","-2e-04","-1","0.2","0.2","NaN","-0.239526527498794","-3.52930943092541","0.248447886013267","0.586941452029255","0.280251505460023","0","3192.48779042499","-1580.61895710684","115"
"48","-1","1e-04","-5","0.2","0.2","NaN","-1.78078385147082","-6.42078357304794","0.000120653524255123","0.610616244385941","0.264951547925856","0","3005.72432017258","-1487.23722198064","25"
"49","-1.5","-2e-04","-5","0.2","0.2","NaN","-2.2214617156412","-4.55959806594755","-2.47898533383135e-05","0.544539385000898","0.310878966401547","0","2943.5324849351","-1456.1413043619","14"
"50","-1","-5e-05","-3","0.2","0.2","NaN","-1.57531489895577","-2.25198787573713","-0.000197992638731985","0.477775438185733","0.290382191055263","0","2968.55374802305","-1468.65193590588","70"
"51","-1.5","-5e-04","-4","0.2","0.2","NaN","-1.43484548871039","-3.94944496108598","7.34872493520304e-05","0.579930519284311","0.325442290657833","0","3026.09250245196","-1497.42131312033","29"
"52","-1.5","-5e-05","-4","0.2","0.2","NaN","-1.76813975271273","-3.45204116787774","-5.28552669254929e-05","0.436604498707966","0.284028628644497","0","2885.56327753365","-1427.15670066117","44"
"53","-2","-5e-04","-4","0.2","0.2","NaN","-1.93966796351161","-4.17183662843812","-2.39361291407877e-05","0.430406657892202","0.28021967382122","0","2871.855946976","-1420.30303538235","28"
"54","-1","-0.00035","-1","0.2","0.2","NaN","-3.01506711097131","0.100276290737672","-0.00225888457601757","0.5879549462911","0.298557812229076","0","3150.77673803334","-1559.76343091102","110"
"55","-1","-0.00035","-2","0.2","0.2","NaN","-1.84887400458548","-2.8947538902856","-0.000107941272341377","0.497670178159608","0.34117368282139","0","2953.11252050691","-1460.9313221478","85"
"56","-2","-5e-05","-3","0.2","0.2","NaN","-1.84599281317258","-2.99997181378903","-9.60731258651332e-05","0.442357029692907","0.280112456615431","0","2899.77348831375","-1434.26180605122","68"
"57","-2.5","1e-04","-2","0.2","0.2","NaN","-2.33505667551484","-1.8701557905169","-0.000329101685644244","0.490601991017368","0.282855868658761","0","3008.27437159687","-1488.51224769278","97"
"58","-1.5","-5e-04","-5","0.2","0.2","NaN","-1.97326774712289","-4.44685927214996","-1.55982275317486e-05","0.42941517343569","0.290976048487831","0","2874.41491238415","-1421.58251808643","4"
"59","-2.5","-5e-04","-2","0.2","0.2","NaN","-2.60949717718924","-2.13139671710369","-0.000266473834314187","0.499227856588847","0.277015927119474","0","3021.0358801113","-1494.89300195","77"
"60","-2","-2e-04","-3","0.2","0.2","NaN","-2.0007107969941","-4.27283705225164","-2.33177931954679e-05","0.430812121552661","0.280241649876422","0","2872.89547403386","-1420.82279891128","63"
"61","-1.5","-2e-04","-4","0.2","0.2","NaN","-1.92825712775188","-4.07782658143512","-2.71971794475739e-05","0.430231471243906","0.280089340111585","0","2871.986008113","-1420.36806595085","39"
"62","-2","-5e-05","-1","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","118"
"63","-1.5","1e-04","-5","0.2","0.2","NaN","-1.74700015202068","-4.85870854391528","3.20200890842603e-05","0.431691790202668","0.302349358497915","0","2907.91489284934","-1438.33250831902","24"
"64","-3","-5e-05","-4","0.2","0.2","NaN","-2.09027590392611","-5.64589835591994","1.12547650640109e-05","0.438961731615913","0.278831200371544","0","2890.36915632092","-1429.55964005481","41"
"65","-3","1e-04","-1","0.2","0.2","NaN","-3.01536751930722","-1.06788525207884","-0.000735366337736133","0.608141343358519","0.290578901617263","0","3117.82779122299","-1543.28895750585","121"
"66","-2.5","-5e-04","-3","0.2","0.2","NaN","-1.8950856630447","-3.87339678081733","-3.47944331971279e-05","0.431163988501563","0.281055034476581","0","2873.42620012646","-1421.08816195758","52"
"67","-2","1e-04","-2","0.2","0.2","NaN","-2.08415236587472","-2.12104640706957","-0.000251123345980798","0.46955547797372","0.285902983965561","0","2970.71294881315","-1469.73153630092","98"
"68","-2.5","1e-04","-1","0.2","0.2","NaN","-2.94612869129479","-0.772656869553233","-0.372893866796475","0.596228548345281","0.280195975030011","0","3208.3238052718","-1588.53696453025","122"
"69","-3","1e-04","-4","0.2","0.2","NaN","-2.06030106630173","-5.31511343529157","5.02307134928933e-06","0.436706889764642","0.278354892798265","0","2884.951310457","-1426.85071712285","46"
"70","-1.5","-5e-04","-1","0.2","0.2","NaN","-1.9989982722956","-0.894403820045908","-0.000834776120927672","0.530972453697146","0.289993394166752","0","3069.21826093842","-1518.98419236356","104"
"71","-2.5","-5e-04","-5","0.2","0.2","NaN","-2.03396803347085","-5.09840468848095","9.47439072385331e-07","0.433032502068095","0.280104183245079","0","2881.27925315982","-1425.01468847426","2"
"72","-1.5","-5e-05","-2","0.2","0.2","NaN","-1.69032985449237","-2.14964357477954","-0.000229888880620952","0.464677685577631","0.294356730572342","0","2966.79042783894","-1467.77027581382","94"
"73","-3","-2e-04","-3","0.2","0.2","NaN","-3.00551405458175","-3.17882549254468","-0.239960192276316","0.587777990355614","0.281808201031326","0","3203.17859661334","-1585.96436020102","61"
