a_log,h_log,sigma,sigma2,error,a_log.est,h_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1.88888888888889,-2.77777777777778,0.2,0.2,,-1.75665635174164,-4.51500941610158,0.428466099833798,0.28037814547732,0,2861.59637051436,-1418.29823477266,56
-2.55555555555556,-4.11111111111111,0.2,0.2,,-1.75659365282417,-4.51512697744665,0.428523491985644,0.280373116112893,0,2861.59637925687,-1418.29823914391,23
-2.33333333333333,-4.55555555555556,0.2,0.2,,-1.75641394893106,-4.5140664086225,0.428524488709114,0.280356282442703,0,2861.5963862168,-1418.29824262388,14
-3,-3.66666666666667,0.2,0.2,,-1.7568040964842,-4.51442849271921,0.428384835305855,0.280308970659954,0,2861.59652753231,-1418.29831328164,31
-2.55555555555556,-3.22222222222222,0.2,0.2,,-1.75660234289108,-4.51448466690783,0.428564355182323,0.280343985652417,0,2861.59641665391,-1418.29825784244,43
-1.22222222222222,-4.55555555555556,0.2,0.2,,-1.75646018721402,-4.51341846828066,0.428546817096129,0.280313495863474,0,2861.59647953781,-1418.29828928439,19
-1.66666666666667,-3.66666666666667,0.2,0.2,,-1.75587753491931,-4.5125232969959,0.428476511002204,0.28046068026398,0,2861.59665004755,-1418.29837453926,37
-1.66666666666667,-5,0.2,0.2,,-1.75632606900558,-4.51262375508792,0.428425490549352,0.280424103657774,0,2861.59651324727,-1418.29830613911,7
-1.22222222222222,-2.33333333333333,0.2,0.2,,-1.75698512703768,-4.51492985461631,0.428541665051822,0.280360293161814,0,2861.59647271234,-1418.29828587165,69
-1.88888888888889,-2.33333333333333,0.2,0.2,,-1.75691420829849,-4.51543293045218,0.428469970414423,0.280362716924936,0,2861.59642423135,-1418.29826163116,66
-1.44444444444444,-1.44444444444444,0.2,0.2,,-1.75637645456439,-4.51543507406874,0.428499740901779,0.280334361659455,0,2861.59645274049,-1418.29827588573,88
-1,-2.77777777777778,0.2,0.2,,-1.75632749380678,-4.51392510243102,0.428488760204155,0.280419603488811,0,2861.59640224719,-1418.29825063908,60
-1.22222222222222,-1,0.2,0.2,,-1.756514870269,-4.51381371758116,0.428501903911485,0.280412121437476,0,2861.59639447007,-1418.29824675052,99
-2.77777777777778,-5,0.2,0.2,,-1.75636358443469,-4.51374373524372,0.428488877014547,0.280431317702871,0,2861.59641721806,-1418.29825812451,2
-2.11111111111111,-3.22222222222222,0.2,0.2,,-1.75653155020621,-4.51434628192399,0.42846878825798,0.280386639923408,0,2861.59636460311,-1418.29823181704,45
-2.55555555555556,-1,0.2,0.2,,-1.75663268301995,-4.5146631771357,0.428590768281262,0.280372205993656,0,2861.59642851161,-1418.29826377128,93
-2.55555555555556,-3.66666666666667,0.2,0.2,,-1.7563815315239,-4.51478393542735,0.428460429142718,0.280422317382369,0,2861.596408035,-1418.29825353298,33
-1.88888888888889,-3.22222222222222,0.2,0.2,,-1.75651883073289,-4.51517740307371,0.428504559769251,0.280385396883289,0,2861.5963796403,-1418.29823933563,46
-2.77777777777778,-1.88888888888889,0.2,0.2,,-1.75652821081831,-4.51529001199389,0.428426463258919,0.280389317952938,0,2861.5964022408,-1418.29825063588,72
-1.66666666666667,-4.55555555555556,0.2,0.2,,-1.75654591530095,-4.51482414199814,0.428490231900032,0.280397411821667,0,2861.5963674158,-1418.29823322338,17
-1.44444444444444,-2.33333333333333,0.2,0.2,,-1.7563869099608,-4.51414819077369,0.428437165648387,0.280321007770487,0,2861.59643042774,-1418.29826472935,68
-1.22222222222222,-3.66666666666667,0.2,0.2,,-1.7565681280182,-4.51419094203036,0.428447051188478,0.280352520372393,0,2861.59638624068,-1418.29824263582,39
-3,-4.11111111111111,0.2,0.2,,-1.75668654184277,-4.51425033170316,0.428599558592306,0.280402107574672,0,2861.5964623772,-1418.29828070408,21
-1.44444444444444,-4.11111111111111,0.2,0.2,,-1.75678717915286,-4.51535395493783,0.42850348913265,0.280387119181131,0,2861.596392303,-1418.29824566698,28
-1,-4.11111111111111,0.2,0.2,,-1.75668095574757,-4.51479436618491,0.428456467924248,0.280397692655834,0,2861.59637768393,-1418.29823835744,30
-1.22222222222222,-4.11111111111111,0.2,0.2,,-1.75680798903259,-4.51275239308464,0.428543050824212,0.280378289723789,0,2861.59660558116,-1418.29835230606,29
-1,-3.22222222222222,0.2,0.2,,-1.75662519179444,-4.51600477181343,0.428410611132367,0.280396322586389,0,2861.59645899531,-1418.29827901314,50
-2.55555555555556,-1.44444444444444,0.2,0.2,,-1.75697268138396,-4.51386387967766,0.428555658089571,0.280410653257985,0,2861.59656095247,-1418.29832999172,83
-1.66666666666667,-2.33333333333333,0.2,0.2,,-1.75679136856274,-4.51463334747612,0.428487795797291,0.280276955393192,0,2861.59653317705,-1418.29831610401,67
-1.88888888888889,-1,0.2,0.2,,-1.75641591435128,-4.5144580136375,0.428479047026357,0.28030750256242,0,2861.59643794022,-1418.29826848559,96
-1.22222222222222,-1.44444444444444,0.2,0.2,,-1.75672753804027,-4.51499191002963,0.428502695257586,0.28034524661616,0,2861.5963934575,-1418.29824624423,89
