"","a_log","a12","h12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"50","-3","-5e-04","-5e-04","-3","-0.5","-1","0.005","0.001","5e-04","0.005","-15","0.2","0.2","335251","NaN","9.13552083936285","0.995430427253636","-7.28668045045917","4.04715050310336","-13.836488183087","-1.6772491157165","-0.0439272308971438","-0.0454556083711731","0.00243536661439598","0.000820365069370191","-12.6018786254165","0.260487878910777","0.241290539605454","0","2023.8440718192","-971.099462956358"
"51","-3","-5e-04","1e-04","-2","-1","-1","5e-04","5e-04","5e-04","0.001","-5","0.2","0.2","1066101","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"52","-1","-2e-04","1e-04","-5","-1","-3","0.001","5e-04","0.001","0.005","-10","0.2","0.2","816365","NaN","0.030976785526385","-0.721402923873028","-9.01638370004763","0.641180867161108","-1.92271692171075","-1.66020789567767","0.00195288018513175","0.00236858278584657","0.00245901379420997","0.000855764709262274","-7.22303228508132","0.246025326508885","0.2413923447963","0","1962.57624100795","-940.465547550733"
"53","-3","-5e-05","-2e-04","-1","-0.5","-3","5e-04","5e-04","0.001","5e-04","-5","0.2","0.2","963691","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"54","-3","-5e-04","-0.00035","-2","-2","-0.5","0.001","0.005","0.001","0.005","-15","0.2","0.2","397901","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"55","-2","-0.00035","-5e-04","-5","-0.5","-0.5","5e-04","0.001","5e-04","5e-04","-15","0.2","0.2","21883","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"56","-2.5","-0.00035","1e-04","-5","-2","-3","0.001","0.001","5e-04","0.001","-15","0.2","0.2","174482","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"57","-1.5","-5e-04","-0.00035","-1","-0.5","-1","0.005","0.005","0.001","0.005","-15","0.2","0.2","403029","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"58","-2.5","1e-04","-2e-04","-5","-2","-0.5","0.001","0.001","0.005","5e-04","-15","0.2","0.2","127572","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"59","-1","-5e-05","-5e-04","-2","-1","-3","0.005","0.005","0.005","5e-04","-15","0.2","0.2","147270","NaN","1.07330720287894","11.5519928271076","-17.1405864381515","0.788923314983308","-1.9357939262696","-1.66079251583239","0.00197043482280219","0.00235871310524442","0.00246540749509173","0.000856839050976537","-15.494470561772","0.246092534337942","0.241542114358851","0","1963.03100792407","-940.692931008793"
