"","a_log","h_log","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"80","-2.5","-5","-8.75","-2","-3","0.005","0.005","5e-04","5e-04","-10","0.2","0.2","100152","NaN","-2.64955531750362","-4.6146194445552","-6.06990003878451","-1.20727201031137","-1.69108926182409","0.00105066461535726","0.0014605356032691","0.00244549376896781","0.000859611765629603","-11.2305830134277","0.215240765503108","0.241408829639335","0","1812.16240255845","-868.398826245462"
"81","-1","-1","-7.5","-0.5","-1","5e-04","0.001","5e-04","0.001","-15","0.2","0.2","34450","NaN","-2.23451594694498","-2.58071658776856","-4.96032692674322","-1.39023503099532","-1.37898313725326","0.00149856341448363","0.000882141633429825","0.00213387012216929","0.000939529931959832","-13.7774352547584","0.223375449048936","0.240643167961201","0","1848.25230958485","-886.443779758661"
"82","-1.5","-3","-6.25","-0.5","-1","0.005","5e-04","0.001","5e-04","-15","0.2","0.2","13089","NaN","-2.66351770661378","-3.76463041557697","-7.38131786678513","-1.20007013492498","-1.66649546117032","0.00124712173855279","0.00105573171637116","0.00252663281685889","0.000843119880739895","-13.1848228202418","0.216589336927297","0.240150678537405","0","1816.70192889983","-870.668589416154"
"83","-1.5","-4","-5","-2","-0.5","0.005","0.001","0.001","5e-04","-10","0.2","0.2","107734","NaN","-2.55112220964386","-5.01740954673305","-5.57345327611979","-1.16275424946195","-1.61136152642408","0.000979182281445791","0.0016390363846566","0.00246830441720033","0.000881087095689375","-8.29679999205184","0.215602909063578","0.2407898390339","0","1813.86474422635","-869.249997079412"
"84","-1","-1","-8.75","-1","-3","0.001","0.001","5e-04","0.005","-10","0.2","0.2","156550","NaN","-2.6739648192302","-3.79853231038697","-7.29696412068172","-1.26806132534272","-1.79815473539796","0.0012617068235157","0.000896712398911917","0.00230608559668701","0.0008577920232804","-5.93327442456162","0.213615690616478","0.245096379100684","0","1822.59734023369","-873.616295083084"
"85","-2","-2","-8.75","-2","-3","5e-04","5e-04","0.005","5e-04","-10","0.2","0.2","111418","NaN","-2.69198754176166","-4.19887398830213","-7.36452805710763","-1.21895766444428","-1.75341461067579","0.00116295790890522","0.00101901409629773","0.00241332158119748","0.000805232295347795","-9.23166229189654","0.214188999414676","0.241598701941467","0","1820.10494123375","-872.370095583112"
"86","-1.5","-3","-6.25","-1","-0.5","5e-04","0.001","5e-04","0.001","-5","0.2","0.2","216964","NaN","-2.28085429020125","-3.0538528601963","-5.21588881515044","-1.13310794799285","-1.67546191055753","0.00135615833227747","0.00160013440736077","0.00244260188272993","0.000807077269607824","-4.58691572108104","0.212597750198926","0.242419894352493","0","1815.92416039832","-870.2797051654"
"87","-2","-3","-8.75","-1","-1","0.005","0.005","0.001","0.001","-5","0.2","0.2","232288","NaN","-2.13108204250797","-3.04890245284089","-5.07579292511036","-1.08589189904649","-1.66782721689347","0.00136792510174906","0.00154743699625988","0.00243732120460807","0.000839833816236777","-7.83333760408373","0.213264830403005","0.241085787803802","0","1803.53027228007","-864.082761106273"
"88","-1.5","-5","-6.25","-1","-1","0.001","5e-04","5e-04","5e-04","-10","0.2","0.2","92829","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"89","-1","-2","-10","-0.5","-1","0.005","0.005","0.001","0.001","-5","0.2","0.2","232395","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"90","-1.5","-1","-10","-0.5","-0.5","0.005","0.001","0.001","5e-04","-15","0.2","0.2","16774","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
