"","a_log","h_log","log_w","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"56","-1.5","-4","-7.5","-1.75","-1","-0.5","0.001","0.001","0.005","0.005","-10","0.2","0.2","887809","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"57","-1.5","-4","-10","-3","-1","-3","5e-04","5e-04","5e-04","0.001","-15","0.2","0.2","152509","NaN","-2.69938714224435","-4.57407323549222","-6.93799262942436","-4.1829916083267","-1.2000752298014","-1.67183261227449","0.00107752576867334","0.00117532979972231","0.00243626789419452","0.000849429360432349","-15.0931180396009","0.216938902210635","0.240787975242943","0","1824.61563206216","-871.485243077839"
"58","-3","-2","-6.25","-1.75","-2","-3","0.001","0.001","0.001","5e-04","-5","0.2","0.2","984716","NaN","-2.37063181905702","-2.92593356448823","-5.45692222317673","-4.33977579257305","-1.20674565363939","-1.57781139543456","0.00145828638965137","0.00146869972637276","0.00227578575623609","0.00105952765349655","-4.82602342589863","0.21121741808763","0.239049980950901","0","1820.93562550307","-869.645239798293"
"59","-2","-1","-8.75","-2.375","-1","-0.5","5e-04","0.005","5e-04","0.001","-15","0.2","0.2","190173","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"60","-1","-4","-7.5","-1.75","-1","-0.5","5e-04","0.005","0.001","0.001","-15","0.2","0.2","240935","NaN","-0.476227445641646","-0.722097063362686","-8.06911935406198","2.61281848409787","-1.42653761013134","-1.6603094236293","0.00195513571032134","0.00117302684536276","0.00219139157078419","0.000914802078712502","-19.6240963951023","0.230029674303345","0.240846489346991","0","1897.67848603035","-908.016670061936"
"61","-3","-2","-10","-2.375","-1","-0.5","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","1168891","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"62","-1.5","-2","-8.75","-3","-2","-0.5","5e-04","0.005","0.001","5e-04","-10","0.2","0.2","543794","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"63","-2.5","-3","-10","-2.375","-1","-3","0.005","5e-04","0.005","5e-04","-5","0.2","0.2","1024512","NaN","-2.6145083819454","-3.53206696053515","-7.64644757365514","-0.47415111300468","-1.22026859713554","-1.71015521403139","0.00124722258826983","0.00101397562527854","0.00243327915628395","0.000833535377260368","-5.37183469120472","0.215050546912163","0.24023054685166","0","1829.66845034504","-874.01165221928"
"64","-3","-4","-7.5","-0.5","-2","-3","0.005","5e-04","5e-04","0.005","-5","0.2","0.2","1226806","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"65","-2","-2","-8.75","-1.75","-2","-3","5e-04","5e-04","0.005","5e-04","-5","0.2","0.2","1012793","NaN","-2.10301418930108","-3.29257592309639","-4.99106692377603","-1.9888234993315","-1.05040509083065","-1.98350011197005","0.0012097778642666","0.00161251038894584","0.00260565071295386","0.00049948212757545","-5.47894864212335","0.214967090975752","0.243767016781955","0","1821.23472976982","-869.794791931667"
"66","-3","-3","-6.25","-0.5","-0.5","-3","5e-04","5e-04","5e-04","0.001","-5","0.2","0.2","1064961","NaN","-2.77518122261773","-4.11984560901253","-7.47852703210527","-1.6391186774326","-1.29166511876793","-1.70342670504767","0.00113315387963769","0.00108205720675228","0.00240868498544526","0.000836530052838301","-5.91901439121757","0.215860167993232","0.242683201003509","0","1828.63583937051","-873.495346732012"
"67","-1","-4","-7.5","-3","-1","-3","0.001","0.005","0.001","0.005","-5","0.2","0.2","1305685","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"68","-1.5","-4","-6.25","-1.75","-2","-1","0.005","5e-04","5e-04","0.001","-15","0.2","0.2","165334","NaN","-2.58053387546103","-3.23663527353063","-7.71824518979369","-0.473587577390582","-1.21931871636841","-1.66497383414418","0.00135487122845904","0.00105138436529877","0.00263243177185314","0.000658854862172814","-14.4292969476982","0.216359376673625","0.239459671664819","0","1824.32944368253","-871.342148888021"
"69","-3","-1","-5","-3","-0.5","-1","0.005","5e-04","5e-04","0.001","-5","0.2","0.2","1077621","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"70","-1","-5","-10","-2.375","-2","-3","0.001","5e-04","0.001","5e-04","-15","0.2","0.2","56380","NaN","-2.10945114225153","2.96977327261525","-6.64963195727835","-4.88769919872601","-2.01982615570165","-6.11758318505815","0.00207855823769976","0.00201848293976584","-0.00266820436298429","-0.0337268080451342","-14.3383102580263","0.247917576702033","0.267039415328963","0","2080.70904175412","-999.53194792382"
"71","-3","-2","-6.25","-1.125","-1","-0.5","0.001","0.005","0.001","5e-04","-10","0.2","0.2","550466","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"72","-2.5","-4","-10","-3","-0.5","-1","0.005","0.001","5e-04","0.001","-5","0.2","0.2","1094382","NaN","-2.86512151339015","-3.120861588403","-9.21163250589531","-1.77435017576292","-1.37395513980704","-1.61239601496877","0.00147047079365114","0.000896627442376024","0.00230865782399116","0.000923215944504959","-4.11730554681683","0.22036359109901","0.241066851485843","0","1865.21372223296","-891.784288163238"
