"","a_log","a12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"58","-2","-5e-04","-1","-3","-1","-3","5e-04","5e-04","5e-04","0.005","-5","0.2","0.2","1215728","NaN","-1.9770992759965","-0.000283801170401678","-0.989419041732746","-3.02813822481461","-1.04367374520358","-2.99395927128088","0.00177129965108922","0.00206496167202423","0.00145864200724097","-0.00129645264655485","-4.97963390965017","0.237826252797388","0.255397698283825","0","1989.85165266872","-954.103253381117"
"59","-2","1e-04","-4","-1.125","-2","-1","0.005","0.001","0.001","0.001","-5","0.2","0.2","1144173","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"60","-2","-5e-05","-2","-1.125","-2","-3","0.005","5e-04","0.005","5e-04","-10","0.2","0.2","568593","NaN","-2.38965927130943","-0.000120003736308523","-1.79147169777864","-1.98422984293716","-2.28993986704817","-2.28164262707461","0.00242783983948836","-0.0015280234321745","0.00272873885952345","0.000286378507128433","-9.3434458948562","0.243478585390361","0.247805849179201","0","1976.34501794937","-947.349936021444"
"61","-3","-5e-04","-2","-1.125","-2","-1","5e-04","5e-04","5e-04","0.005","-5","0.2","0.2","1217326","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"62","-2.5","1e-04","-4","-1.75","-2","-3","0.005","0.005","0.001","0.001","-5","0.2","0.2","1159047","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"63","-2.5","-5e-05","-3","-1.75","-0.5","-1","0.005","0.001","5e-04","0.005","-15","0.2","0.2","335317","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"64","-3","1e-04","-2","-1.125","-1","-3","0.005","5e-04","5e-04","0.005","-15","0.2","0.2","316096","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"65","-2.5","1e-04","-3","-2.375","-2","-1","5e-04","0.005","0.005","0.005","-10","0.2","0.2","896447","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"66","-2.5","-0.00035","-1","-2.375","-1","-0.5","5e-04","0.001","0.005","0.001","-15","0.2","0.2","274607","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"67","-2.5","1e-04","-1","-3","-2","-1","0.005","0.005","0.005","0.005","-15","0.2","0.2","451997","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"68","-2","-2e-04","-1","-3","-1","-0.5","0.005","5e-04","0.001","5e-04","-5","0.2","0.2","977613","NaN","-12.94468603912","0.00458331908368662","5.83954965918935","8.13425809652615","-3.66098428371734","-0.501146222917157","0.00730059978662605","-0.00245124783738077","0.00289876041682268","0.00130692387490087","-7.5972831024508","0.257197459301077","0.338326908507029","0","2372.04259559996","-1145.19872484674"
