"","a_log","h12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"64","-1.5","-0.00035","-1","-2.375","-0.5","-3","0.001","5e-04","0.005","0.001","-10","0.2","0.2","715859","NaN","-0.669773684180405","-0.64542899951902","0.552940970014243","-2.33883594427905","-1.93616096776118","-1.66304677594752","0.00196937245318666","0.00236254504272725","0.0024609910161034","0.000855840388694213","-8.44686059225858","0.246129057356282","0.24134566097722","0","1964.03139721134","-941.193125652431"
"65","-3","-0.00035","-3","-2.375","-1","-0.5","0.005","5e-04","0.005","5e-04","-10","0.2","0.2","572681","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"66","-3","-0.00035","-2","-2.375","-1","-1","0.001","5e-04","5e-04","0.001","-10","0.2","0.2","615831","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"67","-3","-0.00035","-2","-0.5","-2","-1","5e-04","0.001","0.005","0.005","-5","0.2","0.2","1335581","NaN","-2.93572359212126","-1.68090286407815","-0.000198643708119077","-0.955739792794593","-1.61233353039053","-1.62913518032698","0.00176868725713977","0.000875598962737871","0.00249501223034828","0.00081390850544886","-5.3032944849254","0.226106981335794","0.24073568132674","0","1869.82699395085","-894.090924022184"
"68","-1.5","-5e-05","-3","-3","-0.5","-1","0.005","5e-04","0.005","0.001","-15","0.2","0.2","267569","NaN","-0.434780750530936","-2.78414652120145","0.623079975521142","-2.40418343911372","-1.92297213712762","-1.65386948471918","0.00195130336980767","0.00237147623030792","0.00247134798110952","0.000857715847037801","-15.2450726347747","0.245909458682439","0.241376367511118","0","1962.39540345104","-940.375128772278"
"69","-2","-5e-04","-5","-0.5","-2","-1","5e-04","0.005","0.005","0.005","-10","0.2","0.2","896753","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"70","-1.5","-5e-05","-1","-0.5","-1","-1","0.001","0.001","0.001","0.001","-15","0.2","0.2","228119","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"71","-2","1e-04","-5","-1.125","-1","-1","5e-04","5e-04","0.001","0.005","-10","0.2","0.2","812898","NaN","-2.54282196255311","-4.30819609626317","0.000308268827851779","-1.70060669714663","-1.14813275056264","-1.83170956873067","0.00133808019311618","0.001130934941172","0.00241285630157812","0.000756148716766916","-8.48210814413693","0.218180379826531","0.240379675875323","0","1827.96306472614","-873.15895940983"
"72","-2.5","-5e-05","-3","-0.5","-0.5","-0.5","5e-04","5e-04","5e-04","0.005","-15","0.2","0.2","309317","NaN","-1.81671582841759","-3.85118429834","0.000162497356826887","-0.25369963686845","-0.464339714849959","-0.493230174019124","0.00164198761924393","0.000895660102010111","0.00266886927893778","0.0014015332187291","-13.0607788334886","0.25983701475939","0.334503036068007","0","2369.30804068923","-1143.83144739137"
"73","-1","-2e-04","-2","-0.5","-0.5","-1","0.005","0.001","5e-04","0.005","-15","0.2","0.2","335590","NaN","-1.35251548636448","3.24291788866843","0.0372862158194625","-5.95166584329623","-2.00210625947302","-1.84766868394878","0.00224716764860123","0.00148255291703572","0.00207629770180797","0.000751402173738352","-16.6194164599611","0.248526868105721","0.240772584979968","0","1976.76702369188","-947.5609388927"
"74","-1.5","1e-04","-2","-2.375","-1","-0.5","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","1168974","NaN","-1.91120748361828","-2.40328793824092","0.432253980896858","-3.62397633834574","-1.88819464201776","-1.66330534149965","0.00193711937597381","0.00234784672192183","0.00245286603115212","0.000852302179314682","-2.7351163403347","0.245771524365849","0.241205389070059","0","1959.36331759283","-938.859085843172"
"75","-2","-0.00035","-3","-1.75","-2","-1","5e-04","0.001","0.005","5e-04","-15","0.2","0.2","120308","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
