a_log,a12,h_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-3,1e-04,-5,0.2,0.2,,-2.33139940016693,-0.00019065736151629,-3.25533652345392,0.211868186558526,0.242709907032727,0,1759.53801109493,-864.068015950067,21
-3,-5e-05,-5,0.2,0.2,,-2.33190787802084,-0.000190639644568807,-3.25718851877248,0.211872952566277,0.242682402894134,0,1759.53797720554,-864.067999005372,16
-2.5,-0.00035,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,107
-1,-2e-04,-2,0.2,0.2,,-2.3319621238164,-0.000190713957687115,-3.25716157671532,0.211895410516639,0.242765614993908,0,1759.53808210616,-864.068051455678,90
-2,-2e-04,-1,0.2,0.2,,-2.33164056732674,-0.000190694099315694,-3.25677592186363,0.211898204553077,0.242743630630958,0,1759.53794865519,-864.067984730193,113
-2,-5e-05,-5,0.2,0.2,,-2.33199741230692,-0.000190542449944628,-3.25527620895609,0.211611199428741,0.242715065650754,0,1759.5398171169,-864.068918961051,18
-3,1e-04,-1,0.2,0.2,,-2.33172689299764,-0.000190606775803064,-3.2568310226616,0.211868117896891,0.242740900757184,0,1759.53792455819,-864.067972681693,121
-1,-0.00035,-4,0.2,0.2,,-2.33231230478339,-0.000190493297980059,-3.25790252336195,0.211807529334122,0.242722869473299,0,1759.53809465613,-864.068057730667,35
-3,-5e-05,-1,0.2,0.2,,-2.33162017313772,-0.000190623560404411,-3.25647359040188,0.211903402911802,0.242717767080063,0,1759.5379420045,-864.067981404848,116
-1,-2e-04,-1,0.2,0.2,,-1.87293074347282,-0.000313515577052568,0.0704688849459333,0.270048062590666,0.245715894522558,0,2008.32714082166,-988.462580813431,115
-1.5,-5e-05,-5,0.2,0.2,,-2.33212457787087,-0.000190536981077279,-3.25853308245743,0.211816215914743,0.242670174723699,0,1759.53812750986,-864.068074157529,19
-1.5,-5e-05,-4,0.2,0.2,,-2.3319474321392,-0.000190490026289466,-3.25683877017138,0.211893429564867,0.242749467964876,0,1759.53796242774,-864.067991616468,44
-1,-2e-04,-3,0.2,0.2,,-1.8258819239503,-0.000327323018871573,-1.62920830808179,0.233256025877224,0.245395723894107,0,1854.14022378025,-911.369122292726,65
-3,-2e-04,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,86
-3,-5e-04,-5,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,1
-1,-0.00035,-1,0.2,0.2,,-2.33195276887418,-0.000190531928984861,-3.25762742040164,0.211884427977612,0.242719516840648,0,1759.53792917178,-864.067974988489,110
-1,1e-04,-1,0.2,0.2,,,,,,,,,,125
