"","a_log","h12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"31","-2","-5e-04","-1","-2","-3","0.005","0.005","0.001","5e-04","-15","0.2","0.2","19228","NaN","-38366.6884951564","-7978.93662098906","2194.55954468645","-14.4036048389745","-9.82239299928752","182.395749970408","60.6260036901255","7.77289607119363","-1.68182765602507","-20072.0312506027","0.544577291612678","0.279784232919282","0","3157.61757016149","-1541.30893362719"
"32","-2.5","-0.00035","-3","-2","-3","0.001","0.001","0.005","0.001","-5","0.2","0.2","237432","NaN","-3.52843512238236","-0.321818909672134","-1.91347985913321","-2.45234471305205","-2.91267167888208","0.0010203647465497","0.0114543412242613","0.0111095417134007","-0.00118541946623107","-2.27964729715732","0.526426461289171","0.282159953463404","0","3134.66914721982","-1529.83472215635"
"33","-2.5","-5e-04","-5","-1","-0.5","0.001","0.005","0.005","0.005","-15","0.2","0.2","89752","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"34","-1","-5e-05","-3","-2","-3","0.005","0.005","0.001","0.005","-5","0.2","0.2","262195","NaN","0.233719555312723","-2.17669692337387","0.712995312124113","-3.10258858724832","-4.55756097989294","0.00143573242715827","0.0196603763429548","0.0422444872823045","-0.00779039293068629","-6.51802244654385","0.52455488543539","0.280210335692827","0","3119.49331263956","-1522.24680486622"
"35","-3","-0.00035","-2","-0.5","-0.5","5e-04","5e-04","5e-04","0.001","-10","0.2","0.2","122581","NaN","-2.8888206173225","-1.92784806827092","-0.000332958596159853","-0.580489918979204","-0.369336086018486","0.000617017260554576","0.00441371875688234","0.00499939024712491","0.000359563805602987","-10.0129836914568","0.540297657178982","0.578731156558687","0","3725.08899679559","-1825.04464694424"
"36","-1.5","-2e-04","-5","-0.5","-1","5e-04","5e-04","5e-04","0.001","-10","0.2","0.2","122139","NaN","-1.48977541255931","-5.00207450059375","-4.24434526232281e-07","-0.442180041639128","-1.3317201489877","0.00048370109779332","0.00123363188643885","0.00661827719898185","6.8294357351574e-05","-9.65808190060131","0.429707384067039","0.355322221651232","0","3108.28239700956","-1516.64134705123"
"37","-1.5","-0.00035","-4","-1","-3","5e-04","0.005","0.001","0.005","-15","0.2","0.2","77784","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"38","-2","-5e-04","-2","-1","-3","5e-04","0.005","5e-04","5e-04","-15","0.2","0.2","6953","NaN","7.98687578183774","-17.4831849729569","11.0529670543202","-3.45916699380574","-5.29770260902648","0.00185923221470224","0.0272127196931555","0.0857178638677686","-0.0168874853979923","-17.739087427632","0.525704311968729","0.280061566085028","0","3122.16968795963","-1523.58499252626"
"39","-1.5","-5e-04","-2","-1","-3","0.005","0.001","5e-04","0.001","-10","0.2","0.2","127329","NaN","-22.4245764346817","22.3813688305353","26.7200478083811","-3.84965983565766","-5.62542119098623","0.00252593167050802","0.0389548284556606","0.118033407511471","-0.0236477778062746","-10.2359701077664","0.525972304687423","0.280108637804984","0","3122.52414914485","-1523.76222311887"
"40","-2","1e-04","-1","-0.5","-3","0.001","5e-04","0.001","5e-04","-10","0.2","0.2","102748","NaN","-2.46795898175625","-1.33895830259044","-0.000523495253091755","-2.73413053710212","-4.53173436305576","0.00103676080257163","0.0121927271892283","0.0445962781419868","-0.00692701739971998","-5.95885300439868","0.45700152533413","0.290247525047276","0","3054.27846042977","-1489.63937876133"
