"","a_log","h_log","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"62","-3","-3","-7.5","-2","-3","0.001","5e-04","5e-04","0.005","-15","0.2","0.2","61936","NaN","-1.77204290554352","-3.19797900525605","-8.19595530550142","-1.44281780907495","-2.49575076019437","0.000701583383683175","0.00239369634282318","0.00846313616077919","-0.000603629339126677","-13.0280988304273","0.446238731101072","0.285733947969651","0","2967.80964694993","-1446.40497202141"
"63","-2","-3","-7.5","-2","-0.5","0.005","0.001","0.001","0.001","-5","0.2","0.2","229188","NaN","-1.57744192688306","-2.81130636702456","-8.17817016540316","-0.85795074251169","-2.24767456663792","0.000697846803115015","0.00232815312064198","0.00641902480883725","-0.000411592000013538","-4.40101080962064","0.45928031590397","0.289475554198425","0","3042.22735752159","-1483.61382730724"
"64","-1.5","-5","-7.5","-2","-0.5","5e-04","0.005","0.001","0.005","-15","0.2","0.2","78429","NaN","-6.74877181274864","10.8503449490125","-5.03560231820547","-4.73047484454291","-7.93798016714975","0.0053724971847472","0.084477930444555","0.0242579308317875","-0.185940789971017","-17.3246757077722","0.526982248619966","0.290626264682927","0","3161.14685245821","-1543.07357477555"
"65","-2.5","-1","-7.5","-0.5","-3","0.001","0.001","5e-04","0.001","-15","0.2","0.2","35197","NaN","-2.01981729094808","-3.62157306757037","-6.34247954975371","-1.299827274147","-2.28622624414288","0.000614436405458041","0.00336411953336648","0.00760527387103437","-0.000438372849323307","-13.8781255664939","0.444329596713193","0.284592267640148","0","2974.11167996061","-1449.55598852675"
"66","-1.5","-3","-5","-2","-1","0.001","0.005","0.005","5e-04","-15","0.2","0.2","28614","NaN","-1.34956940520597","-3.98312172886262","-5.172110918368","-0.759682043240063","-3.27728926800255","0.000535470905550443","0.00335811723215554","0.018135837650776","-0.00032054727110646","-14.359411430879","0.43354101725862","0.287381481206863","0","2947.34103386294","-1436.17066547791"
"67","-2","-4","-5","-1","-0.5","5e-04","0.005","5e-04","5e-04","-5","0.2","0.2","189983","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"68","-1","-3","-10","-2","-1","0.005","5e-04","5e-04","0.001","-15","0.2","0.2","33015","NaN","-1.84789634033987","-2.08134829606371","-7.012257394133","-1.62898112805873","-2.85037307870718","0.00083148831130192","0.00376720027519797","0.00811342757592278","-0.00069681375348873","-14.6489686881131","0.463723574466067","0.274641387040288","0","3024.55770849967","-1474.77900279628"
"69","-2.5","-3","-7.5","-1","-3","5e-04","0.005","0.001","5e-04","-10","0.2","0.2","108187","NaN","-1.80311522596378","-4.24208212721716","-9.67734340143058","-0.944518976361883","-5.56048088378604","0.000553837717558696","0.0017665714834014","0.0634265199538449","-0.0237515219911235","-7.13209130039402","0.420479288367072","0.282838201859349","0","2912.67889836367","-1418.83959772828"
"70","-3","-2","-8.75","-0.5","-0.5","0.001","0.005","0.005","5e-04","-10","0.2","0.2","120291","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"71","-2.5","-1","-5","-1","-1","5e-04","0.001","5e-04","0.001","-5","0.2","0.2","216622","NaN","-3.72181333463106","8.03475191033491","-4.27055256356337","-4.65315581077926","-5.67313012583155","0.00503597114682105","0.0831390831165573","0.12307281819646","-0.024826898394208","-7.78324203155157","0.525964616992222","0.280022692669038","0","3122.75557829964","-1523.87793769626"
"72","-1.5","-4","-5","-2","-1","5e-04","5e-04","0.001","0.005","-10","0.2","0.2","162484","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"73","-1","-2","-5","-0.5","-3","5e-04","0.005","5e-04","5e-04","-5","0.2","0.2","189370","NaN","-1.40218780900551","-2.35283443841611","-7.70309208650221","-1.67741414972442","-2.11002373051882","0.000966578504391517","-0.00179362679978037","0.00699743124506462","-0.000277570917511456","-4.39443804504014","0.511244646072325","0.294784143907337","0","3147.13697025674","-1536.06863367482"
"74","-1","-1","-8.75","-1","-1","0.001","0.001","5e-04","5e-04","-5","0.2","0.2","187300","NaN","-1.53178671995992","-1.67875658884589","-5.0144263377946","-1.98703586676858","-2.85513433439675","0.000874349592110517","0.00710551590644033","0.0101080589925567","-0.000965930131118261","-3.6135735799387","0.474627072103487","0.278529629368043","0","3078.98462923339","-1501.99246316314"
"75","-1.5","-5","-7.5","-2","-0.5","5e-04","5e-04","5e-04","5e-04","-5","0.2","0.2","183054","NaN","-1.74049439144347","-4.5032668101929","-4.66009434378147","-1.55421014237314","-2.48804019462643","0.000447036554583839","0.00488853611984858","0.00781240867311237","-0.000466169297336649","-6.51546127218098","0.447373607048596","0.286535549067437","0","2993.94870295413","-1459.47450002351"
"76","-1","-3","-5","-2","-1","5e-04","0.005","0.005","5e-04","-10","0.2","0.2","118615","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"77","-3","-1","-5","-0.5","-1","5e-04","0.001","5e-04","0.005","-5","0.2","0.2","247121","NaN","-3.2776790315502","-1.25669308324438","-5.55446244385509","-1.27624821161946","-2.09560005763616","0.00068310997086843","0.00548137691714916","0.00697946253668196","-0.000236556634648866","-2.72184469560835","0.495712472749862","0.290596325493942","0","3192.08518568683","-1558.54274138986"
"78","-2","-4","-7.5","-0.5","-0.5","5e-04","0.001","0.001","0.001","-5","0.2","0.2","227183","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
