"","a_log","a12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"31","-3","-2e-04","-3","-2.375","-2","-0.5","5e-04","0.005","0.001","5e-04","-15","0.2","0.2","88311","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"32","-2","1e-04","-1","-3","-0.5","-0.5","0.005","0.005","0.005","5e-04","-5","0.2","0.2","1062623","NaN","701.312343764624","0.0917530692324644","-2.02250978573496","705.812691815837","-36.1709753126837","-6.53635405449133","-0.288007270753248","0.110289146270634","0.281661330383676","-0.0570534755267768","-1084.02044839565","0.467951360044381","0.2798464129959","0","3006.84668006365","-1462.79850095714"
"33","-2","1e-04","-3","-1.125","-0.5","-1","0.005","0.001","0.001","0.005","-15","0.2","0.2","386073","NaN","-1.80923691344541","0.000124926419559401","-3.1180105367623","0.569247488598919","-2.98688172894896","-2.76293696002303","0.00138150082923655","-0.00400667817558066","0.00888458657684621","-0.000875041521998881","-15.7326270612543","0.457248329152736","0.282091817985894","0","2987.38930592947","-1453.06981389005"
"34","-3","-5e-05","-1","-0.5","-0.5","-1","5e-04","0.001","5e-04","0.001","-15","0.2","0.2","172491","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"35","-1.5","-5e-05","-2","-3","-0.5","-3","5e-04","0.001","0.001","5e-04","-10","0.2","0.2","524469","NaN","-1.43001016819279","-0.000311935369015366","-2.63179737558079","-2.30422226288737","-1.69895229829009","-2.71498692022809","0.000986604235649939","0.000704062541651928","0.00921214376885404","-0.000894159739359031","-8.28240693592064","0.485067447584772","0.284564437194964","0","3010.53594658507","-1464.64313421785"
"36","-1","1e-04","-2","-3","-1","-1","5e-04","0.005","0.001","0.005","-5","0.2","0.2","1301975","NaN","-1.12104836684527","-0.0007226944731656","-2.05403490419554","-2.80635778739903","-0.830894092209947","-1.29650397601527","0.000480444682413239","0.00401769023989797","0.00566474386968492","-4.35333187352236e-06","-5.01626236732889","0.441637442593368","0.694781688868289","0","3549.04934675018","-1733.89983430041"
"37","-1","-5e-04","-4","-1.75","-2","-0.5","5e-04","0.001","0.005","5e-04","-10","0.2","0.2","577780","NaN","-1.33312866029497","-0.000651436698739785","-3.64555345792241","-1.13307522253246","-1.83163371569304","-0.663698321134543","0.000278952387325983","0.00542029259064661","0.00635549560600447","-4.59775422468374e-05","-10.7781911964421","0.523788079105893","0.488790123032932","0","3492.21601833483","-1705.48317009273"
"38","-1.5","-0.00035","-2","-2.375","-2","-0.5","0.005","0.001","0.005","0.001","-15","0.2","0.2","285209","NaN","-0.809078447595651","-0.000928101106210172","-1.67010508450065","-2.00463871928158","-2.60300029913294","-0.904892558322794","0.00164337829932137","0.00489227125933801","0.00429657190415025","0.000294521703020948","-15.1821360891644","0.532192150714702","0.381247846488256","0","3406.7153630566","-1662.73284245362"
"39","-1","-5e-05","-4","-3","-0.5","-3","0.001","5e-04","5e-04","5e-04","-15","0.2","0.2","6920","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"40","-3","-2e-04","-2","-1.75","-2","-1","5e-04","0.001","5e-04","0.005","-5","0.2","0.2","1234086","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"41","-2","1e-04","-5","-1.125","-2","-3","0.001","0.005","0.005","0.005","-5","0.2","0.2","1356023","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"42","-2","1e-04","-3","-3","-2","-3","0.005","5e-04","5e-04","0.001","-10","0.2","0.2","618823","NaN","-1.44037804779472","-0.000303084422373266","-4.38080460950384","-1.96521215242825","-0.628363009568203","-4.19645481808332","0.00049422618331782","0.00238019164021044","0.0298860117300383","-0.00515627993317144","-9.80149981666379","0.411591950701958","0.280314095771928","0","2874.32913860549","-1396.53973022806"
"43","-2","1e-04","-1","-3","-0.5","-0.5","0.005","0.001","0.001","5e-04","-10","0.2","0.2","539498","NaN","-0.716895090047516","-0.000625401557364071","-1.941460757324","2.98889049547493","-3.80314740069488","-5.44789155886978","0.00251822048204243","0.019037699407142","0.115043888000587","-0.0196343548369439","-5.30808153109472","0.456785217588568","0.281841331590178","0","2986.48979472357","-1452.6200582871"
"44","-2","-5e-05","-1","-0.5","-1","-0.5","5e-04","0.005","0.005","0.005","-5","0.2","0.2","1354993","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"45","-1.5","-0.00035","-5","-0.5","-2","-1","0.001","0.001","0.005","0.005","-5","0.2","0.2","1341134","NaN","-273.159874377416","0.422477632854687","-570.185611816129","1975.06811780339","-10.5149212095172","-10.4572951110443","4.25875796260081","4.80881121343291","14.9773228017564","-3.13154274942639","708.170972941252","0.540781611315676","0.279861163812644","0","3156.85168690464","-1537.80100437764"
"46","-2","-5e-05","-3","-3","-0.5","-1","5e-04","0.005","0.005","5e-04","-10","0.2","0.2","593818","NaN","-1.27195543583007","-0.000291640676428103","-4.04410545139514","0.299736940194517","-0.640745674983525","-2.85048320894044","0.00054958881284127","0.00193601130503551","0.00907259303292217","0.000143559810901304","-8.91008056675029","0.398458922261353","0.291122566343533","0","2879.85711090634","-1399.30371637848"
