"","a_log","h_log","log_w","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","log_w.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"87","-2","-5","-8.75","-2.375","-2","-0.5","5e-04","5e-04","0.001","0.005","-15","0.2","0.2","358278","NaN","-1.62711765069784","-2.1019521717319","-8.75487161619947","0.395960716635738","-2.13818637710042","-6.1540690576021","0.00104573723945283","0.00446018722869635","0.170285267035838","-0.0507128587104125","-15.2669667824585","0.448379810532367","0.282236246863071","0","2970.0525938296","-1444.40145784011"
"88","-2.5","-4","-6.25","-3","-2","-1","0.001","0.005","0.005","0.005","-5","0.2","0.2","1357582","NaN","-0.885512648170915","-3.57443979062974","0.0638466344161467","-5.30275771427167","-3.07374114882505","-6.83614218317926","0.00136056104629752","0.0202824084023985","0.47028268509767","-0.0661033241663571","-5.07450101921789","0.512191020473843","0.280050609145005","0","3115.65798872838","-1517.2041552895"
"89","-1","-2","-5","-0.5","-1","-0.5","5e-04","0.005","0.005","0.001","-10","0.2","0.2","747495","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"90","-1","-4","-8.75","-1.125","-1","-0.5","0.005","0.005","0.005","0.001","-15","0.2","0.2","302910","NaN","-1.3702156805813","-5.31959835000367","-5.6320668249653","-1.02040716887237","-0.607329273169362","-1.92193041583565","0.000442397913163975","0.00224351675387693","0.00381807920850502","-0.000171446766692442","-13.8198940878967","0.418451146156129","0.305775200978866","0","2974.97559748903","-1446.86295966983"
"91","-2","-1","-5","-1.125","-0.5","-0.5","0.005","0.005","5e-04","5e-04","-5","0.2","0.2","961748","NaN","-4.0045501363769","-0.337213356883852","-7.3531791239744","2.20667478708398","-2.39240625536513","-4.50567678876906","0.00111341263856254","0.0107809203285984","0.0365771997422118","-0.00875622462176336","-4.28180971730804","0.513916579690566","0.281882333359563","0","3114.42947206788","-1516.58989695925"
"92","-1.5","-1","-7.5","-3","-1","-0.5","5e-04","0.001","0.001","0.005","-5","0.2","0.2","1286949","NaN","-1.40717827217812","-1.07685517186964","-5.29250774126293","-4.06534870468523","-1.07613811595431","-1.605567599481","0.000606045151059989","0.00508610417150749","0.0053351594492385","8.36803947417606e-05","-3.50573569059539","0.544341822479003","0.295575308151881","0","3231.84160742538","-1575.295964638"
"93","-2","-4","-6.25","-1.75","-2","-3","0.005","0.001","5e-04","0.001","-15","0.2","0.2","180333","NaN","-1.27858770732885","-4.309478612734","-6.05847959292826","0.228386668256186","-0.653487599014704","-4.50043601992032","0.000520504982860592","0.00238038721323445","0.0122481421698432","-0.00288510385401913","-11.472682307928","0.406116928533726","0.29015502826135","0","2882.41536812489","-1400.58284498776"
"94","-2","-5","-10","-3","-0.5","-3","5e-04","0.001","0.005","5e-04","-10","0.2","0.2","575003","NaN","-1.56174195353067","-4.57457508442982","-6.60032678160725","-4.26054111072449","-0.698401376704753","-3.84468433956499","0.000496087989294082","0.00223769488442494","0.0222531200625426","-0.00356456475787756","-10.9843005229939","0.418662307550324","0.280619306565617","0","2896.67437209163","-1407.71234697113"
"95","-1","-5","-7.5","-1.75","-0.5","-0.5","5e-04","0.005","0.001","0.001","-5","0.2","0.2","1152805","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"96","-2.5","-2","-6.25","-1.125","-0.5","-3","5e-04","0.005","5e-04","0.005","-5","0.2","0.2","1250467","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"97","-2","-3","-5","-1.75","-2","-1","0.005","5e-04","5e-04","5e-04","-15","0.2","0.2","13488","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"98","-2.5","-4","-6.25","-0.5","-0.5","-0.5","0.001","5e-04","5e-04","5e-04","-15","0.2","0.2","11207","NaN","-1.02144431476409","-3.31315218869056","-7.99898221696703","2.29099446925478","-0.879720475275335","-3.01685513548016","0.000640714278538606","0.00209925983334628","0.0109982679174021","-0.00148079639311347","-21.9999395635306","0.409983087778657","0.282638208539577","0","2879.21147033976","-1398.9808960952"
