"","a_log","h_log","h12","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"21","-3","-3","-2e-04","-8.75","-0.5","-1","0.001","0.005","5e-04","5e-04","-10","0.2","0.2","498311","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"22","-1.5","-1","-5e-05","-7.5","-0.5","-3","5e-04","0.005","0.005","0.005","-5","0.2","0.2","1351599","NaN","-1.63797160859836","-1.19313967638639","-0.00132819150230971","-9.81456520513677","-1.02773267719049","-2.380386612316","0.000698281830518831","0.00295680086076213","0.00644184694975149","-0.000278746122946225","-4.67042824687716","0.538741839805568","0.297528258942511","0","3167.0659298843","-1542.90812586747"
"23","-1","-1","-5e-05","-7.5","-2","-3","0.001","5e-04","0.005","5e-04","-10","0.2","0.2","562850","NaN","3.2262225898335","-7.34338680848238","0.704154159778897","-6.32378382565388","-3.68305600075484","-5.24456038761448","0.00219079111002471","0.0333658343552301","0.0816464646339922","-0.0159999075075089","-11.0251561008627","0.524147818959727","0.280169976326561","0","3125.07577264337","-1521.913047247"
"24","-2.5","-2","-5e-04","-8.75","-1","-1","0.005","5e-04","0.005","5e-04","-15","0.2","0.2","115142","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"25","-2","-4","-5e-04","-6.25","-2","-3","0.001","0.001","0.001","0.001","-10","0.2","0.2","681008","NaN","-1.99405318083472","-3.34191009968789","-6.56627547699917e-05","-10.8237575356481","-1.27068025060039","-2.69561254610188","0.000655851037867565","0.00222255654228021","0.00971650913708031","-0.000982096727674767","-10.0403323411513","0.439529198798656","0.289788567093755","0","2950.24088293523","-1434.49560239293"
"26","-1.5","-1","-5e-04","-6.25","-2","-1","5e-04","0.005","0.001","5e-04","-5","0.2","0.2","997899","NaN","1.86482569124181","9.26261847580635","-0.330779422713828","-7.72483585107166","-5.04654150748275","-5.97786332449199","0.00723022426441513","0.121784769143289","0.166221074627938","-0.0338948579420914","-22.7710356573305","0.52594569529686","0.279977385829934","0","3129.05213051355","-1523.90122618209"
"27","-2","-1","1e-04","-10","-2","-1","0.001","0.005","0.005","0.001","-15","0.2","0.2","294498","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"28","-2","-2","1e-04","-10","-1","-0.5","0.001","5e-04","0.001","5e-04","-15","0.2","0.2","60743","NaN","-2.02398506320968","-4.05851147344176","9.39997301630385e-05","-9.31536606899057","-1.33017419443982","-4.4469269161614","0.00071551558752598","0.00419218374325844","0.0220212612697664","0.0048038870179586","-5.8628565171631","0.452491499541772","0.310216341660826","0","3066.97886579135","-1492.86459382099"
"29","-2.5","-5","-0.00035","-5","-1","-0.5","0.001","5e-04","0.005","0.005","-10","0.2","0.2","871152","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30","-1.5","-4","-2e-04","-8.75","-1","-1","5e-04","0.005","5e-04","0.001","-5","0.2","0.2","1099559","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31","-2.5","-3","-2e-04","-7.5","-1","-1","0.001","5e-04","0.001","0.005","-10","0.2","0.2","818437","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"32","-3","-1","1e-04","-5","-1","-3","0.005","5e-04","0.001","0.005","-5","0.2","0.2","1278121","NaN","-2.97001692616643","-0.0285043953497685","-0.00649753128735357","-9.95618138076652","-1.5450285495753","-2.93652935689828","0.00081045782377665","0.00537242412171497","0.00935333556833959","-0.00109624421390786","-5.15346717895253","0.534651775685004","0.284615101416621","0","3115.82313760208","-1517.28672972635"
