"","a_log","a12","h12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"51","-1.5","-0.00035","-5e-04","-4","-0.5","-0.5","-3","0.005","0.005","0.001","0.005","-5","0.2","0.2","6562009","NaN","-1.44814881925999","-0.00121042704654248","-4.02095447070196","0.283856022467574","-0.786418317905118","-2.12831307988079","-3.18516437826859","0.00079752700008946","0.00911070354921993","0.0132850555870861","-0.0018482295217033","-2.94362757590103","0.521604533757562","0.283841277204971","0","3139.479471187","-1525.98990889768"
"52","-2.5","-2e-04","-5e-05","-5","-3","-0.5","-1","5e-04","0.005","0.001","0.001","-15","0.2","0.2","1196962","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"53","-2.5","-0.00035","-0.00035","-2","-0.5","-0.5","-1","5e-04","0.001","0.001","0.001","-10","0.2","0.2","3393532","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"54","-1.5","-5e-05","-5e-04","-4","-1.75","-0.5","-3","0.005","0.001","0.001","0.001","-15","0.2","0.2","1160769","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"55","-1.5","-0.00035","-5e-05","-4","-1.75","-1","-3","0.001","0.001","0.005","0.001","-5","0.2","0.2","5938959","NaN","-1.7459285699285","-0.000165816139758542","-3.656679724179","-3.46436528487114e-05","-1.38041643930922","-0.897595385225552","-3.05784827212192","0.000496394791707923","0.00286340985578679","0.0121260713162439","-0.00129799869895986","-5.396536648858","0.459316208041842","0.284515043511837","0","2934.38117796105","-1423.44076228471"
"56","-1","-2e-04","-5e-04","-2","-2.375","-2","-1","0.005","0.001","0.005","0.001","-5","0.2","0.2","5972890","NaN","0.231720940845613","0.0191038131453771","-2.58963190664124","1.0854277582478","-3.64207766107399","-3.19939886016882","-4.24052230812654","0.00153198316311656","0.0215941218313713","0.0315536112199586","-0.00547033378324833","-3.71544173405842","0.52456265777836","0.280371897078208","0","3133.60642141444","-1523.0533840114"
"57","-2.5","-0.00035","1e-04","-4","-1.125","-0.5","-1","0.001","0.005","5e-04","5e-04","-5","0.2","0.2","4770857","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"58","-2","-0.00035","1e-04","-2","-1.75","-2","-1","0.001","0.001","0.001","5e-04","-15","0.2","0.2","376733","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"59","-2","-5e-05","1e-04","-5","-1.75","-0.5","-1","0.005","0.001","0.005","5e-04","-10","0.2","0.2","2941993","NaN","-1.01924839225259","-0.000830701331330828","-6.59996270143233","1.55933743520312","-5.69075113749739","-3.62774073392156","-3.94043853015201","0.00183817471562143","0.0314888398858083","0.0242151599264466","-0.00400975660513831","-9.56657840771295","0.523596746428503","0.280294253854895","0","3133.82752497578","-1523.16393579207"
"60","-1","-2e-04","-0.00035","-2","-2.375","-2","-3","0.001","5e-04","5e-04","0.005","-10","0.2","0.2","3826040","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
